,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
20,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",drumstick,"['zucchini, courgette', 'hotdog, hot dog, red hot']","['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'warplane, military plane']","['flatworm, platyhelminth', 'rock crab, Cancer irroratus']",,,,,,,,,,,,,,,,,,,,,,
21,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","diamondback, diamondback rattlesnake, Crotalus adamanteus","['fire screen, fireguard', 'Mexican hairless']","['fire screen, fireguard', 'plate']","['mask', 'cowboy boot']","['mask', 'common newt, Triturus vulgaris']","['mask', 'warthog']",,,,,,,,,,,,,,,,,,,,
22,"black widow, Latrodectus mactans","medicine chest, medicine cabinet",,,,,,,,,,,,,,,,,,,,,,,,,
23,"spider monkey, Ateles geoffroyi","long-horned beetle, longicorn, longicorn beetle","['coil, spiral, volute, whorl, helix', 'pier']","['coil, spiral, volute, whorl, helix', 'plate']",,,,,,,,,,,,,,,,,,,,,,,
24,"chiton, coat-of-mail shell, sea cradle, polyplacophore",basketball,,,,,,,,,,,,,,,,,,,,,,,,,
25,"coil, spiral, volute, whorl, helix",plate,,,,,,,,,,,,,,,,,,,,,,,,,
26,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","ground beetle, carabid beetle",,,,,,,,,,,,,,,,,,,,,,,,,
28,waffle iron,pier,,,,,,,,,,,,,,,,,,,,,,,,,
29,waffle iron,"cliff, drop, drop-off","['Crock Pot', 'beer bottle']",,,,,,,,,,,,,,,,,,,,,,,,
30,"rock python, rock snake, Python sebae","porcupine, hedgehog",,,,,,,,,,,,,,,,,,,,,,,,,
31,"ruddy turnstone, Arenaria interpres",manhole cover,"['swing', 'ground beetle, carabid beetle']",,,,,,,,,,,,,,,,,,,,,,,,
32,cuirass,thimble,"['cuirass', ""loupe, jeweler's loupe""]",,,,,,,,,,,,,,,,,,,,,,,,
33,"cockroach, roach",chainlink fence,"['Crock Pot', 'triceratops']","['Crock Pot', 'ground beetle, carabid beetle']",,,,,,,,,,,,,,,,,,,,,,,
34,Crock Pot,"diamondback, diamondback rattlesnake, Crotalus adamanteus",,,,,,,,,,,,,,,,,,,,,,,,,
35,spoonbill,water bottle,"['electric ray, crampfish, numbfish, torpedo', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca']","['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'amphibian, amphibious vehicle']",,,,,,,,,,,,,,,,,,,,,,,
36,Crock Pot,"remote control, remote","['radiator', 'ice lolly, lolly, lollipop, popsicle']","['waffle iron', 'scuba diver']","['potpie', 'flamingo']",,,,,,,,,,,,,,,,,,,,,,
37,"great grey owl, great gray owl, Strix nebulosa",rugby ball,,,,,,,,,,,,,,,,,,,,,,,,,
38,"hammerhead, hammerhead shark","home theater, home theatre",,,,,,,,,,,,,,,,,,,,,,,,,
39,"refrigerator, icebox",safe,"['refrigerator, icebox', 'safe']",,,,,,,,,,,,,,,,,,,,,,,,
40,"assault rifle, assault gun",toilet seat,"['water jug', 'hand-held computer, hand-held microcomputer']","['water jug', 'holster']","['assault rifle, assault gun', 'scabbard']",,,,,,,,,,,,,,,,,,,,,,
41,"spider monkey, Ateles geoffroyi",quail,,,,,,,,,,,,,,,,,,,,,,,,,
42,banded gecko,"spotted salamander, Ambystoma maculatum","['projectile, missile', 'ice lolly, lolly, lollipop, popsicle']","['bullfrog, Rana catesbeiana', 'oil filter']",,,,,,,,,,,,,,,,,,,,,,,
43,shower curtain,"walking stick, walkingstick, stick insect","['white stork, Ciconia ciconia', 'bookshop, bookstore, bookstall']",,,,,,,,,,,,,,,,,,,,,,,,
44,"zucchini, courgette",whistle,"['alligator lizard', 'drake']","['soup bowl', 'odometer, hodometer, mileometer, milometer']",,,,,,,,,,,,,,,,,,,,,,,
45,soup bowl,rotisserie,,,,,,,,,,,,,,,,,,,,,,,,,
46,scabbard,whistle,,,,,,,,,,,,,,,,,,,,,,,,,
47,"hand-held computer, hand-held microcomputer",chainlink fence,,,,,,,,,,,,,,,,,,,,,,,,,
48,"goldfish, Carassius auratus",rotisserie,"['soup bowl', 'gown']",,,,,,,,,,,,,,,,,,,,,,,,
50,"siamang, Hylobates syndactylus, Symphalangus syndactylus",cannon,"['bullfrog, Rana catesbeiana', 'sea anemone, anemone']","['kit fox, Vulpes macrotis', 'rule, ruler']",,,,,,,,,,,,,,,,,,,,,,,
51,hermit crab,"mountain bike, all-terrain bike, off-roader","['projector', 'Indian cobra, Naja naja']","['wig', 'manhole cover']","['bullfrog, Rana catesbeiana', 'file, file cabinet, filing cabinet']","['limpkin, Aramus pictus', 'file, file cabinet, filing cabinet']",,,,,,,,,,,,,,,,,,,,,
53,"American lobster, Northern lobster, Maine lobster, Homarus americanus","hognose snake, puff adder, sand viper","['pole', 'holster']","['pole', 'ringneck snake, ring-necked snake, ring snake']","['eggnog', 'African chameleon, Chamaeleo chamaeleon']","['mosque', 'ringneck snake, ring-necked snake, ring snake']",,,,,,,,,,,,,,,,,,,,,
54,pole,fiddler crab,"['pickelhaube', 'printer']","['pole', 'football helmet']",,,,,,,,,,,,,,,,,,,,,,,
55,"prison, prison house","file, file cabinet, filing cabinet","['chest', 'file, file cabinet, filing cabinet']","['Gila monster, Heloderma suspectum', 'file, file cabinet, filing cabinet']","['American lobster, Northern lobster, Maine lobster, Homarus americanus', 'file, file cabinet, filing cabinet']","['chest', 'radio telescope, radio reflector']","['chest', 'catamaran']",,,,,,,,,,,,,,,,,,,,
56,pole,isopod,"['pole', 'safe']","['pole', 'oxygen mask']","['pole', 'water jug']","['jersey, T-shirt, tee shirt', 'butternut squash']","['pole', ""spider web, spider's web""]","['pole', 'cicada, cicala']",,,,,,,,,,,,,,,,,,,
57,"picket fence, paling","tree frog, tree-frog","['green snake, grass snake', 'catamaran']",,,,,,,,,,,,,,,,,,,,,,,,
58,"green snake, grass snake","loupe, jeweler's loupe","['pole', 'rifle']",,,,,,,,,,,,,,,,,,,,,,,,
59,pole,stage,,,,,,,,,,,,,,,,,,,,,,,,,
60,pole,whistle,"['pole', 'snorkel']","['pole', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']",,,,,,,,,,,,,,,,,,,,,,,
61,"European gallinule, Porphyrio porphyrio",drumstick,,,,,,,,,,,,,,,,,,,,,,,,,
62,cliff dwelling,"loupe, jeweler's loupe","['cliff dwelling', 'catamaran']","['suspension bridge', 'birdhouse']",,,,,,,,,,,,,,,,,,,,,,,
64,pole,stage,"['pole', 'stage']","['pole', 'chainlink fence']","['pole', 'chainlink fence']",,,,,,,,,,,,,,,,,,,,,,
65,"zucchini, courgette","file, file cabinet, filing cabinet","['pole', 'oxygen mask']","['Gila monster, Heloderma suspectum', 'African chameleon, Chamaeleo chamaeleon']","['velvet', 'manhole cover']",,,,,,,,,,,,,,,,,,,,,,
66,sombrero,cloak,"['sombrero', 'cloak']","['sombrero', 'screw']","['sombrero', 'coucal']","['sombrero', 'dome']","['sombrero', 'dome']",,,,,,,,,,,,,,,,,,,,
68,pole,butternut squash,,,,,,,,,,,,,,,,,,,,,,,,,
69,pole,"cicada, cicala","['white stork, Ciconia ciconia', 'birdhouse']",,,,,,,,,,,,,,,,,,,,,,,,
70,pickelhaube,"suit, suit of clothes","['horizontal bar, high bar', 'suit, suit of clothes']",,,,,,,,,,,,,,,,,,,,,,,,
71,cassette player,holster,"['pot, flowerpot', 'catamaran']",,,,,,,,,,,,,,,,,,,,,,,,
72,trifle,"lumbermill, sawmill","['trifle', 'sports car, sport car']","['common iguana, iguana, Iguana iguana', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",,,,,,,,,,,,,,,,,,,,,,,
73,"greenhouse, nursery, glasshouse",holster,,,,,,,,,,,,,,,,,,,,,,,,,
74,pole,cricket,"['pole', 'butternut squash']","['pole', 'hognose snake, puff adder, sand viper']",,,,,,,,,,,,,,,,,,,,,,,
75,"Gila monster, Heloderma suspectum",water bottle,"['zucchini, courgette', 'manhole cover']","['spoonbill', 'strainer']","['zucchini, courgette', 'revolver, six-gun, six-shooter']","['ruddy turnstone, Arenaria interpres', 'stinkhorn, carrion fungus']","['ruddy turnstone, Arenaria interpres', 'chainlink fence']","['quill, quill pen', 'jeep, landrover']","['prison, prison house', ""loupe, jeweler's loupe""]","['prison, prison house', 'catamaran']",,,,,,,,,,,,,,,,,
76,"zucchini, courgette",manhole cover,"['chest', 'Mexican hairless']","['coral fungus', 'photocopier']","['leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'eel']","['barn spider, Araneus cavaticus', 'dowitcher']","['digital watch', 'dowitcher']",,,,,,,,,,,,,,,,,,,,
77,"shield, buckler","home theater, home theatre","['shield, buckler', 'space bar']",,,,,,,,,,,,,,,,,,,,,,,,
78,coral fungus,"home theater, home theatre",,,,,,,,,,,,,,,,,,,,,,,,,
79,pickelhaube,fiddler crab,"['rock python, rock snake, Python sebae', 'hotdog, hot dog, red hot']","['rock python, rock snake, Python sebae', 'book jacket, dust cover, dust jacket, dust wrapper']",,,,,,,,,,,,,,,,,,,,,,,
80,cuirass,muzzle,,,,,,,,,,,,,,,,,,,,,,,,,
81,"quill, quill pen","bookshop, bookstore, bookstall","['pole', 'suit, suit of clothes']","['pole', 'stove']","['pickelhaube', 'drumstick']",,,,,,,,,,,,,,,,,,,,,,
83,stole,"cicada, cicala","['Arabian camel, dromedary, Camelus dromedarius', 'cicada, cicala']",,,,,,,,,,,,,,,,,,,,,,,,
84,"electric ray, crampfish, numbfish, torpedo","spotted salamander, Ambystoma maculatum","['ruddy turnstone, Arenaria interpres', 'monitor']",,,,,,,,,,,,,,,,,,,,,,,,
85,"limpkin, Aramus pictus","ground beetle, carabid beetle","['hard disc, hard disk, fixed disk', 'plate']","['eggnog', 'space shuttle']","['cup', 'envelope']","['scale, weighing machine', 'panpipe, pandean pipe, syrinx']","['walking stick, walkingstick, stick insect', 'leopard, Panthera pardus']","['plastic bag', 'suit, suit of clothes']","['pole', 'stage']",,,,,,,,,,,,,,,,,,
86,pole,"cicada, cicala","['pole', 'envelope']","['pole', 'meat loaf, meatloaf']",,,,,,,,,,,,,,,,,,,,,,,
87,yurt,stove,,,,,,,,,,,,,,,,,,,,,,,,,
88,pole,cannon,"['picket fence, paling', 'cannon']","['yurt', 'golfcart, golf cart']","['stole', 'cicada, cicala']",,,,,,,,,,,,,,,,,,,,,,
89,knot,"green lizard, Lacerta viridis","['cuirass', 'stinkhorn, carrion fungus']","['cuirass', 'coil, spiral, volute, whorl, helix']","['zucchini, courgette', 'polecat, fitch, foulmart, foumart, Mustela putorius']","['scabbard', 'dome']","['broccoli', 'Pekinese, Pekingese, Peke']","['walking stick, walkingstick, stick insect', 'remote control, remote']","['spoonbill', 'odometer, hodometer, mileometer, milometer']","['pot, flowerpot', 'lotion']","['pot, flowerpot', 'lotion']","['pot, flowerpot', 'drumstick']",,,,,,,,,,,,,,,
91,knot,lotion,"['chest', 'water bottle']","['chest', 'envelope']","['chest', 'lotion']","['chest', 'lotion']","['zucchini, courgette', 'lotion']","['red-breasted merganser, Mergus serrator', 'thimble']","['spoonbill', 'handkerchief, hankie, hanky, hankey']","['chest', 'mink']","['chest', 'mud turtle']",,,,,,,,,,,,,,,,
92,"zucchini, courgette",beer glass,"['zucchini, courgette', 'beer glass']","['zucchini, courgette', 'beer glass']","['zucchini, courgette', 'beer glass']","['zucchini, courgette', 'beer glass']","['zucchini, courgette', 'beer glass']",,,,,,,,,,,,,,,,,,,,
93,chest,"stinkhorn, carrion fungus","['greenhouse, nursery, glasshouse', 'holster']",,,,,,,,,,,,,,,,,,,,,,,,
94,"shield, buckler","home theater, home theatre",,,,,,,,,,,,,,,,,,,,,,,,,
95,water jug,"ground beetle, carabid beetle","['street sign', 'porcupine, hedgehog']","['limpkin, Aramus pictus', 'Walker hound, Walker foxhound']","['ruddy turnstone, Arenaria interpres', 'barrel, cask']","['quill, quill pen', 'ground beetle, carabid beetle']","['limpkin, Aramus pictus', 'holster']","['picket fence, paling', 'Walker hound, Walker foxhound']",,,,,,,,,,,,,,,,,,,
96,"axolotl, mud puppy, Ambystoma mexicanum",thimble,,,,,,,,,,,,,,,,,,,,,,,,,
97,"axolotl, mud puppy, Ambystoma mexicanum","barrel, cask","['limpkin, Aramus pictus', 'beer bottle']","['teapot', 'boathouse']",,,,,,,,,,,,,,,,,,,,,,,
98,"picket fence, paling",honeycomb,"['chest', 'cassette']","['Gila monster, Heloderma suspectum', 'chainlink fence']",,,,,,,,,,,,,,,,,,,,,,,
99,"electric ray, crampfish, numbfish, torpedo",library,"['electric ray, crampfish, numbfish, torpedo', 'electric fan, blower']","['pot, flowerpot', 'ladle']","['electric ray, crampfish, numbfish, torpedo', 'snowplow, snowplough']","['mountain tent', 'electric fan, blower']","['pot, flowerpot', 'projector']","['electric ray, crampfish, numbfish, torpedo', 'electric fan, blower']","['electric ray, crampfish, numbfish, torpedo', 'airship, dirigible']","['electric ray, crampfish, numbfish, torpedo', 'electric fan, blower']","['electric ray, crampfish, numbfish, torpedo', 'prayer rug, prayer mat']",,,,,,,,,,,,,,,,
100,"electric ray, crampfish, numbfish, torpedo",holster,"['jellyfish', 'whippet']","['albatross, mollymawk', 'thimble']","['albatross, mollymawk', 'pot, flowerpot']","['king penguin, Aptenodytes patagonica', 'mortar']","['black and gold garden spider, Argiope aurantia', 'web site, website, internet site, site']",,,,,,,,,,,,,,,,,,,,
101,"pot, flowerpot",Petri dish,"['pot, flowerpot', 'cab, hack, taxi, taxicab']",,,,,,,,,,,,,,,,,,,,,,,,
102,"lighter, light, igniter, ignitor","hotdog, hot dog, red hot","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'hotdog, hot dog, red hot']",,,,,,,,,,,,,,,,,,,,,,,,
103,nail,boxer,,,,,,,,,,,,,,,,,,,,,,,,,
105,swing,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","['quill, quill pen', 'borzoi, Russian wolfhound']","['quill, quill pen', 'ibex, Capra ibex']",,,,,,,,,,,,,,,,,,,,,,,
106,comic book,"web site, website, internet site, site","['comic book', 'stove']","['pickelhaube', 'envelope']",,,,,,,,,,,,,,,,,,,,,,,
107,obelisk,"loupe, jeweler's loupe",,,,,,,,,,,,,,,,,,,,,,,,,
108,"siamang, Hylobates syndactylus, Symphalangus syndactylus","pitcher, ewer","['street sign', 'chainlink fence']","['Dungeness crab, Cancer magister', 'drumstick']","['knot', 'analog clock']","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'golf ball']","['Dungeness crab, Cancer magister', 'oxygen mask']",,,,,,,,,,,,,,,,,,,,
109,shower curtain,"drum, membranophone, tympan","['zucchini, courgette', 'dugong, Dugong dugon']","['knot', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca']",,,,,,,,,,,,,,,,,,,,,,,
110,pole,daisy,,,,,,,,,,,,,,,,,,,,,,,,,
111,street sign,purse,,,,,,,,,,,,,,,,,,,,,,,,,
112,digital watch,holster,,,,,,,,,,,,,,,,,,,,,,,,,
113,"quill, quill pen",space bar,,,,,,,,,,,,,,,,,,,,,,,,,
114,"dial telephone, dial phone","robin, American robin, Turdus migratorius","['dial telephone, dial phone', 'barrow, garden cart, lawn cart, wheelbarrow']","['dial telephone, dial phone', 'frilled lizard, Chlamydosaurus kingi']","['spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish', 'patio, terrace']","['Pomeranian', 'greenhouse, nursery, glasshouse']",,,,,,,,,,,,,,,,,,,,,
116,pole,"cicada, cicala","['volleyball', 'crayfish, crawfish, crawdad, crawdaddy']","['pole', 'barrow, garden cart, lawn cart, wheelbarrow']","['horizontal bar, high bar', 'cicada, cicala']","['horizontal bar, high bar', 'fiddler crab']",,,,,,,,,,,,,,,,,,,,,
117,"red-breasted merganser, Mergus serrator",English setter,"['picket fence, paling', 'pretzel']",,,,,,,,,,,,,,,,,,,,,,,,
118,"bolo tie, bolo, bola tie, bola","stinkhorn, carrion fungus","['pickelhaube', 'box turtle, box tortoise']",,,,,,,,,,,,,,,,,,,,,,,,
119,barn,"loupe, jeweler's loupe","['picket fence, paling', 'radio telescope, radio reflector']","['sturgeon', 'cinema, movie theater, movie theatre, movie house, picture palace']",,,,,,,,,,,,,,,,,,,,,,,
120,fountain pen,"Airedale, Airedale terrier","['dial telephone, dial phone', 'chiton, coat-of-mail shell, sea cradle, polyplacophore']","['dial telephone, dial phone', 'thatch, thatched roof']","['fountain pen', 'oxygen mask']","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'cab, hack, taxi, taxicab']","['pickelhaube', 'gibbon, Hylobates lar']","['pickelhaube', 'mushroom']",,,,,,,,,,,,,,,,,,,
122,water jug,"airship, dirigible",,,,,,,,,,,,,,,,,,,,,,,,,
123,Crock Pot,thimble,"['Crock Pot', 'pier']","['axolotl, mud puppy, Ambystoma mexicanum', 'impala, Aepyceros melampus']",,,,,,,,,,,,,,,,,,,,,,,
124,"whiptail, whiptail lizard","brass, memorial tablet, plaque","['mosque', 'coil, spiral, volute, whorl, helix']","['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'confectionery, confectionary, candy store']","['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'file, file cabinet, filing cabinet']",,,,,,,,,,,,,,,,,,,,,,
125,modem,"capuchin, ringtail, Cebus capucinus","['black stork, Ciconia nigra', 'capuchin, ringtail, Cebus capucinus']","['modem', 'cassette']",,,,,,,,,,,,,,,,,,,,,,,
126,modem,hourglass,"['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'warplane, military plane']","['electric ray, crampfish, numbfish, torpedo', 'hay']","['quill, quill pen', 'hay']",,,,,,,,,,,,,,,,,,,,,,
127,cassette player,beer bottle,,,,,,,,,,,,,,,,,,,,,,,,,
128,pickelhaube,holster,"['bath towel', 'thimble']","['pickelhaube', 'submarine, pigboat, sub, U-boat']",,,,,,,,,,,,,,,,,,,,,,,
129,"bolo tie, bolo, bola tie, bola","redshank, Tringa totanus","['reflex camera', 'flatworm, platyhelminth']",,,,,,,,,,,,,,,,,,,,,,,,
130,Windsor tie,"book jacket, dust cover, dust jacket, dust wrapper",,,,,,,,,,,,,,,,,,,,,,,,,
132,sweatshirt,"meat loaf, meatloaf",,,,,,,,,,,,,,,,,,,,,,,,,
133,cardoon,mink,"['chest', 'stinkhorn, carrion fungus']",,,,,,,,,,,,,,,,,,,,,,,,
134,"pop bottle, soda bottle",rugby ball,,,,,,,,,,,,,,,,,,,,,,,,,
135,"diaper, nappy, napkin","meat loaf, meatloaf","['typewriter keyboard', 'French horn, horn']","['typewriter keyboard', 'odometer, hodometer, mileometer, milometer']",,,,,,,,,,,,,,,,,,,,,,,
136,pickelhaube,"clumber, clumber spaniel","['pickelhaube', 'mud turtle']","['chain', 'stove']","['scale, weighing machine', 'stove']",,,,,,,,,,,,,,,,,,,,,,
137,"gas pump, gasoline pump, petrol pump, island dispenser",stage,"['gas pump, gasoline pump, petrol pump, island dispenser', 'hay']","['bath towel', 'stage']","['bath towel', 'stage']",,,,,,,,,,,,,,,,,,,,,,
138,alligator lizard,hummingbird,"['giant schnauzer', 'cassette']","['cinema, movie theater, movie theatre, movie house, picture palace', 'barbershop']",,,,,,,,,,,,,,,,,,,,,,,
139,bath towel,carbonara,"['bath towel', 'carbonara']",,,,,,,,,,,,,,,,,,,,,,,,
140,"pop bottle, soda bottle","balance beam, beam","['knot', 'odometer, hodometer, mileometer, milometer']","['pop bottle, soda bottle', 'odometer, hodometer, mileometer, milometer']","['bath towel', 'stage']","['bath towel', 'stage']","['bath towel', 'greenhouse, nursery, glasshouse']",,,,,,,,,,,,,,,,,,,,
141,chest,mud turtle,"['tray', 'titi, titi monkey']","['soup bowl', 'dugong, Dugong dugon']","['chest', 'space bar']",,,,,,,,,,,,,,,,,,,,,,
142,bath towel,thimble,"['bath towel', 'jay']","['rifle', 'carbonara']",,,,,,,,,,,,,,,,,,,,,,,
143,rifle,birdhouse,"['cuirass', 'miniature pinscher']",,,,,,,,,,,,,,,,,,,,,,,,
144,typewriter keyboard,"trolleybus, trolley coach, trackless trolley","['typewriter keyboard', 'holster']","['typewriter keyboard', 'stove']",,,,,,,,,,,,,,,,,,,,,,,
145,"ringlet, ringlet butterfly",steel drum,"['tray', 'slide rule, slipstick']","['tray', 'hognose snake, puff adder, sand viper']","['pickelhaube', 'balance beam, beam']",,,,,,,,,,,,,,,,,,,,,,
147,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",hay,"['ringlet, ringlet butterfly', 'odometer, hodometer, mileometer, milometer']","['chest', 'hotdog, hot dog, red hot']","['soup bowl', ""spider web, spider's web""]","['isopod', 'Mexican hairless']","['chest', 'sunglasses, dark glasses, shades']","['chest', 'toy terrier']","['chest', 'odometer, hodometer, mileometer, milometer']","['chest', 'whippet']",,,,,,,,,,,,,,,,,
148,spoonbill,"stinkhorn, carrion fungus","['gasmask, respirator, gas helmet', 'radiator']",,,,,,,,,,,,,,,,,,,,,,,,
150,"red-breasted merganser, Mergus serrator",catamaran,"['albatross, mollymawk', 'thimble']","['cuirass', 'screw']","['nail', 'neck brace']","['Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis', 'kelpie']","['wig', 'slide rule, slipstick']","['albatross, mollymawk', 'car wheel']","['spindle', 'lipstick, lip rouge']","['mosque', 'handkerchief, hankie, hanky, hankey']",,,,,,,,,,,,,,,,,
151,spoonbill,chainlink fence,"['canoe', 'green mamba']",,,,,,,,,,,,,,,,,,,,,,,,
152,"American alligator, Alligator mississipiensis",coucal,"['quill, quill pen', 'beer bottle']","['albatross, mollymawk', 'thimble']","['albatross, mollymawk', 'fur coat']","['king penguin, Aptenodytes patagonica', 'plate']","['harvestman, daddy longlegs, Phalangium opilio', 'croquet ball']","['mortarboard', ""loupe, jeweler's loupe""]","['eggnog', 'drumstick']","['mosque', 'whistle']","['quill, quill pen', 'sidewinder, horned rattlesnake, Crotalus cerastes']",,,,,,,,,,,,,,,,
153,"siamang, Hylobates syndactylus, Symphalangus syndactylus",drumstick,"['sleeping bag', 'hotdog, hot dog, red hot']","['sarong', 'cinema, movie theater, movie theatre, movie house, picture palace']","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'home theater, home theatre']",,,,,,,,,,,,,,,,,,,,,,
155,toucan,pier,,,,,,,,,,,,,,,,,,,,,,,,,
156,chest,water tower,"['shield, buckler', 'African chameleon, Chamaeleo chamaeleon']","['shield, buckler', 'jinrikisha, ricksha, rickshaw']","['spoonbill', 'African chameleon, Chamaeleo chamaeleon']","['dung beetle', 'spotted salamander, Ambystoma maculatum']",,,,,,,,,,,,,,,,,,,,,
157,knot,menu,"['toucan', 'ground beetle, carabid beetle']","['chest', 'menu']","['face powder', 'fiddler crab']","['trifle', 'disk brake, disc brake']",,,,,,,,,,,,,,,,,,,,,
158,chest,acorn squash,,,,,,,,,,,,,,,,,,,,,,,,,
159,mosque,"stinkhorn, carrion fungus","['soup bowl', 'drum, membranophone, tympan']","['pickelhaube', 'meat loaf, meatloaf']","['knot', 'drumstick']","['Gila monster, Heloderma suspectum', 'golf ball']","['Gila monster, Heloderma suspectum', 'file, file cabinet, filing cabinet']","['chest', 'screw']","['Gila monster, Heloderma suspectum', 'odometer, hodometer, mileometer, milometer']","['chest', 'pier']","['mosque', ""loupe, jeweler's loupe""]","['velvet', 'drake']","['street sign', 'lighter, light, igniter, ignitor']","['chest', 'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']","['Gila monster, Heloderma suspectum', 'suit, suit of clothes']","['cassette player', 'holster']","['magnetic compass', 'space bar']","['sombrero', ""spider web, spider's web""]","['pickelhaube', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']","['pickelhaube', ""spider web, spider's web""]","['pickelhaube', 'stove']","['pickelhaube', 'whistle']","['pickelhaube', 'lotion']","['chest', 'space bar']","['stole', 'stingray']","['mosque', 'coucal']","['mosque', 'bee']"
160,mosque,whistle,,,,,,,,,,,,,,,,,,,,,,,,,
161,"racket, racquet","odometer, hodometer, mileometer, milometer","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'stove']",,,,,,,,,,,,,,,,,,,,,,,,
163,typewriter keyboard,crate,"['quill, quill pen', 'hognose snake, puff adder, sand viper']",,,,,,,,,,,,,,,,,,,,,,,,
164,carton,"doormat, welcome mat",,,,,,,,,,,,,,,,,,,,,,,,,
165,mosque,fly,"['agama', 'safe']","['reflex camera', 'hornbill']","['reflex camera', 'water bottle']",,,,,,,,,,,,,,,,,,,,,,
166,isopod,West Highland white terrier,,,,,,,,,,,,,,,,,,,,,,,,,
167,bath towel,"harmonica, mouth organ, harp, mouth harp",,,,,,,,,,,,,,,,,,,,,,,,,
